area,perimeter,compactness,elongation,solidity,extent,eccentricity,orientation,fractal_dimension,boundary_roughness,convexity_defects,shape_complexity,texture_contrast,texture_homogeneity,texture_energy,texture_correlation,mean_curvature,curvature_variance,max_curvature,curvature_peaks,multi_scale_area,multi_scale_perimeter,multi_scale_complexity
26162.0,697.4945087432861,0.6757704851669237,0.7725034333599403,0.8916533178828261,0.5869077530509691,,60.46614074707031,1.0,15.007258362041867,27,3.8500725836204186,5.176424726481823,0.5859658410805366,0.4645364134722171,0.9993830966273581,0.0011405096156522632,0.0002725511440075934,1.0,362,35288.375,695.5185914039612,3.563532530410953
12299.0,649.5533839464188,0.3663110049881893,0.415634728517459,0.7319744085701533,0.3812934027777778,,117.79280090332031,1.009077036607468,27.074066180096086,19,3.1798176984084288,9.683885880220863,0.8015698613791045,0.7701691927488421,0.9972434519501279,0.005864175036549568,0.0013990639708936214,1.0,1121,16838.25,644.1234077811241,2.974040919047353
32782.0,681.75439453125,0.8863176908418515,0.8389921783896871,0.9944939099306809,0.7784479483282675,,90.02483367919922,1.0,6.546243674043672,76,8.665462436740437,3.78955923246858,0.5341299137543986,0.33248590197807354,0.9995870312314886,0.008227694779634476,0.002974614268168807,1.0,857,44049.75,675.1025933027267,6.390739363617645
13545.5,589.7716376781464,0.48936976990643405,0.48145814730029035,0.9098878215893061,0.5168460012210012,,80.36316680908203,1.020629018484673,24.829673801823983,20,3.268925756502913,8.10258866449016,0.7649363707931701,0.7189217190458024,0.9986407722912747,0.0009967059595510364,0.0003700899542309344,1.0,212,18445.75,583.0046132206917,3.0787523915749713
13928.0,705.1269772052765,0.35201726235905123,0.40130711205825603,0.8635912698412699,0.6095938375350141,,79.30722045898438,1.0455587500713195,23.931014961159505,23,3.584868899682915,9.071157795788919,0.7569886495017006,0.709520967693079,0.9982907306223524,0.006237913854420185,0.0014991257339715958,1.0,1146,19036.875,694.0713701248169,3.4404283316756006
16253.5,642.6589419841766,0.4945334247198756,0.5636432809903953,0.8729523604919706,0.6478595344387755,,91.48393249511719,1.0259434734738673,20.66379863251497,17,2.9325814597990174,6.536364708326296,0.7344826222198511,0.6671409098295442,0.998901453222741,0.0026147477328777313,0.00048825869453139603,1.0,835,22049.5,628.5843040645123,2.810848250913282
13836.5,602.7279218435287,0.4786229172572811,0.35159577163590666,0.8774772489456828,0.7532937717770035,,83.11076354980469,1.0413244402575477,28.630729857509607,7,2.027631738832644,8.735047708580561,0.784812781761966,0.7134436159954959,0.9985513031030147,0.0004709627537522465,0.00022695634106639773,1.0,53,18793.375,567.6317278444767,1.8739069071898045
10369.0,583.1025931835175,0.383227611897431,0.3257789648882216,0.86278914960892,0.4723487609329446,,111.01548767089844,1.0302129357623762,26.85794849861511,13,2.598792420748527,8.996155591879479,0.8118369718763605,0.7827043348441979,0.9977168779426346,0.0008463322883471847,0.00026779843028634787,1.0,206,14215.625,571.9170425832272,2.720111785649653
28599.0,685.0681047439575,0.7657609493784817,0.641498330083307,0.9910421900719051,0.6649693080357143,,119.46084594726562,1.0,14.704550964384845,25,3.6470455096438483,5.220086125730028,0.5602883083853263,0.4158782636990484,0.9994745075582128,0.0004290679644327611,0.00020009094441775233,1.0,57,38511.0,679.1736613810062,3.380462200391843
2231.5,600.3990563154221,0.07779053409284382,0.21417900035252557,0.26671846052710213,0.19924107142857142,,98.96897888183594,1.2702414628242304,32.47337909400777,9,2.494975253764308,30.313041192190273,0.9531922436610459,0.9458462491370682,0.9676425920000136,0.00293041137047112,0.0005809235735796392,1.0,861,3424.375,593.8789822459221,2.408872943363445
